marker,article,context,provenance,link
"Dorow and Widdows, 2003",D10-1073,"Another graph-based method is presented in(Dorow and Widdows, 2003). They extract onlynoun neighbours that appear in conjunctions or dis-junctions with the target word. Additionally, theyextract second-order co-occurrences.","Following the method in (Widdows and Dorow, 2002), we build a graph in which each node represents a noun and two nodes have an edge between them if they co-occur in lists more than a given number of times 1.",http://www.aclweb.org/anthology/D/D10/D10-1073.pdf
2003,N07-3010,"The methodology of Dorow and Widdows (2003) was adopted: for the focus word, obtain its graph neighborhood (all vertices that are connected via edges to the focus word vertex and edges between these).","To detect the different areas of meaning in our local graphs, we use a cluster algorithm for graphs (Markov clustering, MCL) developed by van Dongen (2000).",http://www.aclweb.org/anthology/N/N07/N07-3010.pdf
"Dorow and Widdows, 2003",W11-2214,"This unsupervised discovery process produces a sense inventory where the number of senses is corpus-driven and where senses may reflect additional usages not present in a predefined sense inventory, such as those for medicine or law (Dorow and Widdows, 2003).","The local graph in step 1 consists of w, the ni neighbours of w and the n9 neighbours of the neighbours of w. Since in each iteration we only attempt to find the ""best"" cluster, it suffices to build a relatively small graph in 1.",http://www.aclweb.org/anthology/W/W11/W11-2214.pdf
2003,W11-2214,"We follow Pantel and Lin (2002) and Dorow and Widdows (2003) using the sentence as contexts and all words with a dependency path of length 3 or less, with the last word and its relation as a feature.","This gives rise to an automatic, unsupervised word sense disambiguation algorithm which is trained on the data to be disambiguated.",http://www.aclweb.org/anthology/W/W11/W11-2214.pdf
"Dorow and Widdows, 2003",W06-3812,"Similar to the approach as presented in (Dorow and Widdows, 2003) we construct a word graph. Dorow and Widdows construct a graph for a target word w by taking the sub-graph induced by the neighborhood of w (without w) and clustering it with MCL.","To detect the different areas of meaning in our local graphs, we use a cluster algorithm for graphs (Markov clustering, MCL) developed by van Dongen (2000). The algorithm is based on a graph model representing words and relationships between them. Sense clusters are iteratively computed by clustering the local graph of similar words around an ambiguous word.",http://www.aclweb.org/anthology/W/W06/W06-3812.pdf
"Otterbacher et al., 2005",P09-1083,"Considering Question Topic: We first introduce how to incorporate the question topic into the Markov Random Walk model, which is similar as the Topic-sensitive LexRank (Otterbacher et al., 2005).",Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.,http://www.aclweb.org/anthology/P/P09/P09-1083.pdf
"Otterbacher et al., 2005",P09-1083,"Its weight twij is calculated by tf  idf (Otterbacher et al., 2005).","In topic-sensitive LexRank, we first stem all of thesentences in a set of articles and compute word IDFsby the following formula:",http://www.aclweb.org/anthology/P/P09/P09-1083.pdf
"Otterbacher et al., 2005",P09-1083,"includingfact-based QA and text summarization (Erkan andRadev, 2004; Mihalcea and Tarau, 2004; Otter-bacher et al., 2005; Wan and Yang, 2008).",Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.,http://www.aclweb.org/anthology/P/P09/P09-1083.pdf
"Otterbacher et al., 2005",N06-1027,"and sentence retrieval for question answering (Otterbacher et al., 2005).",Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.,http://www.aclweb.org/anthology/N/N06/N06-1027.pdf
"Otterbacher et al., 2005",P06-1039,"Our model is similar in spirit to the random- walk summarization model (Otterbacher et al., 2005).","Using Random Walks for Question-focused Sentence Retrieval In a Web-based news summarization setting, users of our system could choose to see the retrieved sentences (asin Table 9) as a question-focused summary.",http://www.aclweb.org/anthology/P/P06/P06-1039.pdf
"Otterbacher et al., 2005",D08-1032,"A topic-sensitiveLexRank is proposed in (Otterbacher et al., 2005).As in LexRank, the set of sentences in a documentcluster is represented as a graph, where nodes aresentences and links between the nodes are inducedby a similarity relation between the sentences. Thenthe system ranked the sentences according to a random walk model defined in terms of both the inter-sentence similarities and the similarities of the sentences to the topic description or question.",Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.,http://www.aclweb.org/anthology/D/D08/D08-1032.pdf
"Otterbacher et al., 2005",D08-1032,"To apply LexRank to query-focused context, a topic-sensitive version of LexRank isproposed in (Otterbacher et al., 2005).","Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method. The output of our system, a ranked list of sentences relevant to the users question, can be subsequently used as input to an answer selection system in order to find specific answers from the extracted sentences. Alternatively, the sentences canbe returned to the user as a question-focused summary. To apply LexRank, a similarity graph is producedfor the sentences in an input document set. In thegraph, each node represents a sentence. There areedges between nodes for which the cosine similarity between the respective pair of sentences exceedsa given threshold. The degree of a given node isan indication of how much information the respective sentence has in common with other sentences.",http://www.aclweb.org/anthology/D/D08/D08-1032.pdf
"Otterbacher et al., 2005",P08-2003,"A topic- sensitive LexRank is proposed in (Otterbacher et al., 2005).",Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.,http://www.aclweb.org/anthology/P/P08/P08-2003.pdf
"Otterbacher et al., 2005",P08-2003,"To apply LexRank to query-focused context, a topic-sensitive version of LexRank is proposed in (Otterbacher et al., 2005).",Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.,http://www.aclweb.org/anthology/P/P08/P08-2003.pdf
"Otterbacher et al., 2005",P10-2055,"Afterwards, our approach is evaluated against two existing approaches, which rely on the conventional semantic network and are able to capture binary relations only. The other one is based on topic-sensitive LexRank (Otterbacher et al., 2005), called title-sensitive PageRank here.",Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version ofthe LexRank method.,http://www.aclweb.org/anthology/P/P10/P10-2055.pdf
"Kupiec, 1989",W93-0111,"This approach is similar in spirit to the iterative computational approaches of the Hidden Markov Models (Kupiec, 1989",The work described here also makes use of a hidden Markov model.,http://www.aclweb.org/anthology/W/W93/W93-0111.pdf
"Kupiec, 1989a",A92-1018,"In [Kupiec, 1989a], networks are used to selectively augment the context in a basic first- order model, rather than using uniformly second-order dependencies.","A model containing all of the refinements described, was tested using a magazine article containing 146 sentences (3,822 words). A 30,000 word dictionary was used, supplemented by inflectional analysis for words not found directly in the dictionary.",http://www.aclweb.org/anthology/A/A92/A92-1018.pdf
"Kupiec, 1989a",A92-1018,"adequate training requires processing from tens of thousands to hundreds of thousands of tokens [Kupiec, 1989a].","An alternative to uniformly increasing the order of the conditioning is to extend it selectively. Mixed higher- order context can be modeled by introducing explicit state sequences. In the arrangement the basic first-order network remains, permitting all possible category sequences, and modeling first-order dependency.",http://www.aclweb.org/anthology/A/A92/A92-1018.pdf
Kupiec 1989,J93-2006,We report in Section 2 on our experiments on the assignment of part of speech to words in text. The effectiveness of such models is well known (DeRose 1988; Church 1988; Kupiec 1989; Jelinek 1985),The paper describes refinements that are currently being investigated in a model for part-of-speech assignment to words in unrestricted text.,http://www.aclweb.org/anthology/J/J93/J93-2006.pdf
1989,J93-1001,"the empirical approach has been adopted by almost all contemporary part-of-speech programs: Bahl and Mer cer (1976), Leech, Garside, and Atwell (1983), Jelinek (1985), Deroualt and Merialdo (1986), Garside, Leech, and Sampson (1987), Church (1988), DeRose (1988), Hindle (1989), Kupiec (1989, 1992), Ayuso et al",The paper describes refinements that are currently being investigated in a model for part-of-speech assignment to words in unrestricted text. A stochastic method for assigning part-of-speech categories to unrestricted English text has been described.,http://www.aclweb.org/anthology/J/J93/J93-1001.pdf
"Stolcke et al., 2000",W13-4047,"(Stolcke et al., 2000) use HMMs for dialogue modelling, where sequences of observations correspond to sequences of dialogue act types. They also explore the performance with decision trees and neural networks and report their highest accuracy at 65% on the Switchboard corpus.","The importance of the Markov assumption for the discourse grammar is that we can now view the whole system of discourse grammar and local utterance-based likelihoods as a kth-order hidden Markov model (HMM) (Rabiner and Juang 1986). We conducted preliminary experiments to assess how neural networks compare to decision trees for the type of data studied here. Table 9 Combined utterance classification accuracies (chance = 35%). Discourse Grammar Accuracy (%) Prosody Recognizer Combined None 38.9 42.8 56.5 Unigram 48.3 61.8 62.4 Bigram 49.7 64.3 65.0 Table 10 Accuracy (in %) for individual and combined models for two subtasks, using uniform priors (chance = 50%).",http://www.aclweb.org/anthology/W/W13/W13-4047.pdf
Stolcke et al ... 2000,W12-1634,"To date, the majority of work on dialogue act modeling has addressed spoken dialogue (Samuel et al., 1998; Stolcke et al., 2000; Surendran and Levow, 2006; Bangalore et al., 2008; Sridhar et al., 2009; Di Eugenio et al., 2010).","For the speech recognition task, our framework provides a mathematically principled way to condition the speech recognizer on conversation context through dialogue structure, as well as on nonlexical information correlated with DA identity. Second, we present results obtained with this approach on a large, widely available corpus of spontaneous conversational speech.",http://www.aclweb.org/anthology/W/W12/W12-1634.pdf
"Stolcke et al., 2000",W12-1634,"Previous research has leveraged prosodic cues (Sridhar et al., 2009; Stolcke et al., 2000) and facial expressions (Boyer et al., 2011) for automatic dialogue act classification, but other types of nonverbal cues remain unexplored.","The computation of likelihoods P(EIU ) depends on the types of evidence used. Prosodic features-Evidence is given by the acoustic features F capturing various aspects of pitch, duration, energy, etc., of the speech signal; the associated likelihoods are P(F I U).",http://www.aclweb.org/anthology/W/W12/W12-1634.pdf
"Stolcke et al., 2000",W10-1012,"There have also been Dialogue Acts modeling approaches for automatic tagging and recognition of conversational speech (Stolcke et al., 2000) and related work in corpus linguistics where machine learning techniques have been used to find conversational patterns in spoken transcripts of dialogue corpus (Shawar and Atwell, 2005).","<.1% Hey thanks a lot <.1% The goal of this article is twofold: On the one hand, we aim to present a comprehensive framework for modeling and automatic classification of DAs, founded on well-known statistical methods. For the speech recognition task, our framework provides a mathematically principled way to condition the speech recognizer on conversation context through dialogue structure, as well as on nonlexical information correlated with DA identity.",http://www.aclweb.org/anthology/W/W10/W10-1012.pdf
"Stolcke et al., 2000",W13-4011,"Conversational feedback is mostly performedthrough short utterances such as yeah, mh, okaynot produced by the main speaker but by one ofthe other participants of a conversation. Such utterances are among the most frequent in conversational data (Stolcke et al., 2000).","A backchannel is a short utterance that plays discourse-structuring roles, e.g., indicating that the speaker should go on talking. These are usually referred to in the conversation analysis literature as ""continuers"" and have been studied extensively (Jefferson 1984; Schegloff 1982; Yngve 1970).",http://www.aclweb.org/anthology/W/W13/W13-4011.pdf
2000,W01-1627,"Previous research has leveraged prosodic cues (Sridhar et al., 2009; Stolcke et al., 2000) and facial expressions (Boyer et al., 2011) for automatic dialogue act classification, but other types of nonverbal cues remain unexplored.","Tag STATEMENT BACKCHANNEL/ACKNOWLEDGE OPINION ABANDONED/UNINTERPRETABLE AGREEMENT/ACCEPT APPRECIATION YEs-No-QUESTION NONVERBAL YES ANSWERS CONVENTIONAL-CLOSING WH-QUESTION NO ANSWERS RESPONSE ACKNOWLEDGMENT HEDGE DECLARATIVE YES-No-QuESTION OTHER BACKCHANNEL-QUESTION QUOTATION SUMMARIZE/REFORMULATE AFFIRMATIVE NON-YES ANSWERS ACTION-DIRECTIVE COLLABORATIVE COMPLETION REPEAT-PHRASE OPEN-QUESTION RHETORICAL-QUESTIONS HOLD BEFORE ANSWER/AGREEMENT REJECT NEGATIVE NON-NO ANSWERS SIGNAL-NON-UNDERSTANDING OTHER ANSWERS CONVENTIONAL-OPENING OR-CLAUSE DISPREFERRED ANSWERS 3RD-PARTY-TALK OFFERS, OPTIONS ~ COMMITS SELF-TALK D OWNPLAYER MAYBE/AcCEPT-PART TAG-QUESTION DECLARATIVE WH-QUESTION APOLOGY THANKING Example % Me, I'm in the legal department.",http://www.aclweb.org/anthology/W/W01/W01-1627.pdf
"Stolcke et al.,2000",N13-1099,"Dialog act (DA) annotations and tagging, inspiredby the speech act theory of Austin (1975) and Searle(1976), have been used in the NLP community to understand and model dialog. Initial work was done onspoken interactions (see for example (Stolcke et al.,2000)).","While there is hardly consensus on exactly how discourse structure should be described, some agreement exists that a useful first level of analysis involves the identification of dialogue acts (DAs). Thus, DAs can be thought of as a tag set that classifies utterances according to a combination of pragmatic, semantic, and syntactic criteria.",http://www.aclweb.org/anthology/N/N13/N13-1099.pdf
"Stolcke et al., 2000",N06-2021,"The HMM has been widely used in many tagging problems. Stolcke et al (Stolcke et al., 2000) used it for dialog act classification, where each utterance (or dialog act) is used as the observation.","For example, our model draws on the use of DA n-grams and the hidden Markov models of conversation present in earlier work, such as Nagata and Morimoto (1993, 1994) and Woszczyna and Waibel (1994) (see Section 7). The importance of the Markov assumption for the discourse grammar is that we can now view the whole system of discourse grammar and local utterance-based likelihoods as a kth-order hidden Markov model (HMM) (Rabiner and Juang 1986). The HMM states correspond to DAs, observations correspond to utterances, transition probabilities are given by the discourse grammar (see Section 4), and observation probabilities are given by the local likelihoods P(Eil Ui).",http://www.aclweb.org/anthology/N/N06/N06-2021.pdf
"Stolcke et al., 2000",W12-1616,"By representing a higher level intention of utterancesduring human conversation, dialogue act labels arebeing used to enrich the information provided byspoken words (Stolcke et al., 2000).","Interactional dominance (Linell 1990) might be measured more accurately using DA distributions than with simpler techniques, and could serve as an indicator of the type or genre of discourse at hand. In all these cases, DA labels would enrich the available input for higher-level processing of the spoken words.",http://www.aclweb.org/anthology/W/W12/W12-1616.pdf
Chi and Geman 1998,P06-1109,"a treebank PCFG whose simple relativefrequency estimator corresponds to maximumlikelihood (Chi and Geman 1998), and which weshall refer to as ""MLPCFG"".","If the corpus is unparsed then there is an iterative approach to maximum-likelihood estimation (the EM or Baum-Welsh algorithm--again, see Section 2) and the same question arises: do we get actual probabilities or do the estimated PCFG's assign some mass to infinite trees? We will show that in both cases the estimated probability is tight.",http://www.aclweb.org/anthology/P/P06/P06-1109.pdf
"Chi and Geman, 1998",N06-1043,"Theline of our argument below follows a proof providedin (Chi and Geman, 1998) for the maximum like lihood estimator based on finite tree distributions.",We will show that in both cases the estimated probability is tight.,http://www.aclweb.org/anthology/N/N06/N06-1043.pdf
"Chi and Geman, 1998",N06-1043,"Such maximization provides the estimator (see for instance (Chi and Geman, 1998)) pG(A? a) =f(A? a, T ) f(A, T ).","(8~fl)ea ~(B --~/3) = ~=lf(B --~/3;cai) (3) c~ s.t. H <B-~)e~ ~i=lf(B ---+o4cai) The maximum-likelihood estimator is the natural, ""relative frequency,"" estimator.",http://www.aclweb.org/anthology/N/N06/N06-1043.pdf
"Chi and Geman, 1998",N06-1043,"This resulthas been firstly shown in (Chaudhuri et al., 1983) and later, with a different proof technique, in (Chi and Geman, 1998).","If the corpus is unparsed then there is an iterative approach to maximum-likelihood estimation (the EM or Baum-Welsh algorithm--again, see Section 2) and the same question arises: do we get actual probabilities or do the estimated PCFG's assign some mass to infinite trees? We will show that in both cases the estimated probability is tight.",http://www.aclweb.org/anthology/N/N06/N06-1043.pdf
1998,J01-2004,Chi and Geman (1998) proved that any PCFG estimated from a treebank with the relative frequency estimator is tight.,We will show that in both cases the estimated probability is tight.,http://www.aclweb.org/anthology/J/J01/J01-2004.pdf
1998,N03-1027,Chi and Geman (1998) proved that this condition is met if the rule probabilities are estimated using relative frequency estimation from a corpus.,"(8~fl)ea ~(B --~/3) = ~=lf(B --~/3;cai) (3) c~ s.t. H <B-~)e~ ~i=lf(B ---+o4cai) The maximum-likelihood estimator is the natural, ""relative frequency,"" estimator.",http://www.aclweb.org/anthology/N/N03/N03-1027.pdf
Chi and Geman 1998,J98-4004,PCFGs estimated from tree banks using the relative frequency estimator always satisfy (Chi and Geman 1998).,We will show that in both cases the estimated probability is tight.,http://www.aclweb.org/anthology/J/J98/J98-4004.pdf
5,P01-1017,"When a PCFG probability distribution is estimated from training data (in our case the Penn tree-bank) PCFGs de.ne a tight (summing to one) probability distribution over strings [5], thus making them appropriate for language models.",We will show that in both cases the estimated probability is tight.,http://www.aclweb.org/anthology/P/P01/P01-1017.pdf
"Chi and Geman, 1998",N06-1044,"In later work by (Sanchez and Benedi, 1997)and (Chi and Geman, 1998), the result was in dependently extended to expectation maximization,which is an unsupervised method exploited to estimate probabilistic context-free grammars by find ing local maxima of the likelihood of a sample of unannotated sentences.","Dempster, Laird, and Rubin [1977] put the idea into a much more general setting and coined the Chi and Geman Probabilistic Context-Free Grammars term EM for Expectation-Maximization.",http://www.aclweb.org/anthology/N/N06/N06-1044.pdf
"Chi and Geman, 1998",N06-1044,"the proof in (Chi and Ge man, 1998) is based on a simpler counting argument.Both these proofs assume restrictions on the un derlying context-free grammars.","(8~fl)ea ~(B --~/3) = ~=lf(B --~/3;cai) (3) c~ s.t. H <B-~)e~ ~i=lf(B ---+o4cai) The maximum-likelihood estimator is the natural, ""relative frequency,"" estimator.",http://www.aclweb.org/anthology/N/N06/N06-1044.pdf
"Chi and Geman, 1998",N06-1044,"More specifically, in (Chi and Geman, 1998) empty rules and unaryrules are not allowed, thus excluding infinite ambi guity, that is, the possibility that some string in the input sample has an infinite number of derivations inthe grammar.",Estimation of Probabilistic Context-Free Grammars,http://www.aclweb.org/anthology/N/N06/N06-1044.pdf
"Chi and Geman, 1998",N06-1044,"d?D pG(d)f(d,D), (6) subject to the properness conditions?a pG(A ?a) = 1 for eachA ? N . The maximization problemabove has a unique solution, provided by the estima tor (see for instance (Chi and Geman, 1998)) pG(A? a) =f(A? a,D) f(A,D).","Dempster, Laird, and Rubin [1977] put the idea into a much more general setting and coined the Chi and Geman Probabilistic Context-Free Grammars term EM for Expectation-Maximization.",http://www.aclweb.org/anthology/N/N06/N06-1044.pdf
"Chi and Geman, 1998",N06-1044,"The above maximization prob lem provides a system of |R| nonlinear equations(see (Chi and Geman, 1998)) pG(A? a) =?w?C f(w, C)  EpG(d |w) f(A? a, d)?","Letting ~y denote {w Efk Y(w) = Y}, the likelihood of the corpus becomes n H E H P(A--'~oL)f(A~;~)"" i=1 ~OE~y(~i) (A---~o~)ER And the maximum-likelihood equation becomes + p(B fl) Ei=l EwEfly(wi,I-I(A--. )cR p(A -~ a)f(A-~"";~) = 0 fT(B ~ /3) = ~iL1 Ep~f(B ~ fl;w)lw E ~y(~,)] (4) ,~s,,, ~Ei=IEpV("" a;w)lw E ~Y(o~,)] E(B_~,E B ~ where E~ is expectation under fi and where ""]w E~-~y(wi)"" means ""conditioned on 0.2E ~-~Y(wi)'"" There is no hope for a closed form solution, but (4) does suggest an iteration scheme, which, as it turns out, ""climbs"" the likelihood surface (though there are no guarantees about approaching a global maximum): Let P0 be an arbitrary assignment respecting (1).",http://www.aclweb.org/anthology/N/N06/N06-1044.pdf
"Chi and Geman, 1998",N06-1044,"This solves a problem that was left open in the literature (Chi and Geman,1998)","If the corpus is unparsed then there is an iterative approach to maximum-likelihood estimation (the EM or Baum-Welsh algorithm--again, see Section 2) and the same question arises: do we get actual probabilities or do the estimated PCFG's assign some mass to infinite trees? We will show that in both cases the estimated probability is tight.",http://www.aclweb.org/anthology/N/N06/N06-1044.pdf
1998,J99-1004,"A suffi cient condition for proper assignment is established by Chi and Geman (1998), who prove that production probabilities estimated by the maximum-likelihood (ML) esti mation procedure (or relative frequency estimation procedure, as it is called in com putational linguistics) always impose proper PCFG distributions.",We will show that in both cases the estimated probability is tight.,http://www.aclweb.org/anthology/J/J99/J99-1004.pdf
1998,J99-1004,Chi and Geman (1998) proved the properness of PCFG distributions imposed by esti mated production probabilities,"If the corpus is unparsed then there is an iterative approach to maximum-likelihood estimation (the EM or Baum-Welsh algorithm--again, see Section 2) and the same question arises: do we get actual probabilities or do the estimated PCFG's assign some mass to infinite trees? We will show that in both cases the estimated probability is tight.",http://www.aclweb.org/anthology/J/J99/J99-1004.pdf
1998,J99-1004,"This simple estimator, as shown by Chi and Geman (1998), assigns proper production prob abilities for PCFGs.",The assignment of probabilities to the productions of a context-free grammar may generate an improper distribution: the probability of all finite parse trees is less than one.,http://www.aclweb.org/anthology/J/J99/J99-1004.pdf
1998,J99-1004,Proof The proof is almost identical to the one given by Chi and Ceman (1998).,Estimation of Probabilistic Context-Free Grammars,http://www.aclweb.org/anthology/J/J99/J99-1004.pdf
"Chi and Geman, 1998",J99-1004, impose proper probability distributions on D (Chi and Geman 1998).,We show here that estimated production probabilities always yield proper distributions.,http://www.aclweb.org/anthology/J/J99/J99-1004.pdf
1998,P13-1102,we follow Chi and Geman (1998)in calling them non-tight to avoid confusionwith the consistency of statistical estimators).,Estimation of Probabilistic Context-Free Grammars,http://www.aclweb.org/anthology/P/P13/P13-1102.pdf
1998,P13-1102,"Chi and Geman(1998) studied the question for Maximum Likelihood (ML) estimation, and showed that ML es 1033 timates are always tight for both the supervisedcase (where the input consists of parse trees) andthe unsupervised case (where the input consists ofyields or terminal strings).","If the corpus is unparsed then there is an iterative approach to maximum-likelihood estimation (the EM or Baum-Welsh algorithm--again, see Section 2) and the same question arises: do we get actual probabilities or do the estimated PCFG's assign some mass to infinite trees? We will show that in both cases the estimated probability is tight.",http://www.aclweb.org/anthology/P/P13/P13-1102.pdf
"Pedersen, 2001a",W02-0812,"The frustration with models that lack an intuitive interpretation led to the development of decision trees based on bigram features (Pedersen, 2001a). This is quite similar to the bagged decision trees of bigrams (B) presented here, except that the earlier work learns a single decision tree where training examples are represented by the top 100 ranked bi-grams, according to the loglikelihood ratio. This earlier approach was evaluated on the SENSEVAL1 data and achieved an overall accuracy of 64%, whereas the bagged decision tree presented here achieves an accuracy of 68% on that data.","Our empirical study utilizes the training and test data from the 1998 SENSEVAL evaluation of word sense disambiguation systems. Two feature sets are selected from the training data based on the top 100 ranked bigrams according to the power divergence statistic and the Dice Coecient. While the accuracy of this approach was as good as any previously published results, the learned models were complex and dicult to interpret, in e?ect acting as very accurate black boxes.",http://www.aclweb.org/anthology/W/W02/W02-0812.pdf
"Pedersen, 2001",W04-0813,"We also obtain salient bigrams in the context, with the methods and the software described in (Pedersen, 2001).","The approach in this paper relies upon a feature set made up of bigrams, two word sequences that occur in a text. The context in which an ambiguous word occurs is represented by some number of binary features that indicate whether or not a particular bigram has occurred within approximately 50 words to the left or right of the word being disambiguated. We have developed the Bigram Statistics Package to produce ranked lists of bigrams using a range of tests.",http://www.aclweb.org/anthology/W/W04/W04-0813.pdf
2001,W02-1011,"in fact, Pedersen (2001) found that bigrams alone can be e.ective features for word sense disambiguation.",This paper shows that the combination of a simple feature set made up of bigrams and a standard decision tree learning algorithm results in accurate word sense disambiguation.,http://www.aclweb.org/anthology/W/W02/W02-1011.pdf
"Pedersen, 2001",N03-3004,"Bigrams have recently been shown to be very successful features in supervised word sense disambiguation (Pedersen, 2001).",This paper shows that the combination of a simple feature set made up of bigrams and a standard decision tree learning algorithm results in accurate word sense disambiguation.,http://www.aclweb.org/anthology/N/N03/N03-3004.pdf
2001,J02-2003,"In addition, Pedersen (2001) questions whether one statistic should be preferred over the other for the bigram acquisition task and cites Cressie and Read (1984), who argue that there are some cases where the Pearson statistic is more reliable than the log-likelihood statistic.","However, (Cressie and Read, 1984) suggest that there are cases where Pearson's statistic is more reliable than the likelihood ratio and that one test should not always be preferred over the other. Unfortunately it is usually not clear which test is most appropriate for a particular sample of data.",http://www.aclweb.org/anthology/J/J02/J02-2003.pdf
2001,W08-0611," Salient bigrams: Salient bigrams within the abstract with high log-likelihood scores, as described by Pedersen (2001).","The approach in this paper relies upon a feature set made up of bigrams, two word sequences that occur in a text. Given the sparse and skewed nature of this data, the statistical methods used to select interesting bigrams must be carefully chosen. A number of well known statistics belong to this family, including the likelihood ratio statisticG 2 and Pearson'sX 2 statistic.",http://www.aclweb.org/anthology/W/W08/W08-0611.pdf
1998,W01-0712,Nine combination methods were originally suggested by Van Halteren et al,Table 2: Accuracy of individual taggers and combination methods.,http://www.aclweb.org/anthology/W/W01/W01-0712.pdf
"van Halteren et al., 1998",W01-0712,"And .nally, TAGPAIR uses classi.cation pair weights based on the probability of a classi.cation for some predicted classi.cation pair (van Halteren et al., 1998).",A next step is to examine them in pairs. We can investigate all situations where one tagger suggests T1 and the other T2 and estimate the probability that in this situation the tag should actually be Tx.,http://www.aclweb.org/anthology/W/W01/W01-0712.pdf
1998,W01-0712,"Like Van Halteren et al (1998), we evaluated two features combinations. Like Van Halteren et al (1998), we evaluated two features combinations","In order to see whether combination of the component tuggers is likely to lead to improvements of tagging quality, we first examine the results of the individual taggers when applied to Tune. We accept that we are measuring quality in relation to a specific tagging",http://www.aclweb.org/anthology/W/W01/W01-0712.pdf
"van Halteren et al., 1998",W02-1004,"An alternative method for estimating the parameters Akis to approximate them with the performance of the kth classi.er (a performance-based combiner) (van Halteren et al., 1998; Sang et al., 2000) Ak(xd)=P(Ck_is_correctlxd)(4) therefore giving more weight to classi.ers that have a smaller classi.cation error (the method will be referred to as PB).","However, it appears more useful to give more weight to taggers which have proved their quality. This can be general quality, e.g. each tagger votes its overall precision (TotPrecision), or quality in relation to the current situation, e.g. each tagger votes its precision on the suggested tag (Tag- Precision). The information about each tagger's quality is derived from an inspection of its results on Tune.",http://www.aclweb.org/anthology/W/W02/W02-1004.pdf
1998,W02-1004,"Van Halteren et al (1998) introduce a modi.ed version of voting called TagPair. Under this model, the conditional probability that the word sense is s given that classi.er ioutputs sand classi.er joutputs s2, P(sls i(xd)=ss j(xd)=s2), is computed on development data, and the posterior probability is estimated as N P(slx,d)e(s,sAk(x,d))+(s,sA j(x,d)) (7) k.. j where sc;,j(xfd)=argmaxtP(tlsc;(xfd)fscj(xfd)). Each classi.er votes for its classi.cation and every pair of classi.ers votes for the sense that is most likely given the joint classi.cation. In the experiments presented in van Halteren et al (1998), this method was the best performer among the presented methods.","A next step is to examine them in pairs. We can investigate all situations where one tagger suggests T1 and the other T2 and estimate the probability that in this situation the tag should actually be Tx. When used on Test, the pairwise voting strategy (TagPair) clearly outperforms the other voting strategies, 8 but does not yet approach the level where all tying majority votes are handled correctly (98.31%).",http://www.aclweb.org/anthology/W/W02/W02-1004.pdf
"van Halteren et al., 1998",W02-1004,"A very common technique for combination in such a case is by voting (Brill and Wu, 1998; van Halteren et al., 1998; Sang et al., 2000).",5 The most straightforward selection method is an n-way vote.,http://www.aclweb.org/anthology/W/W02/W02-1004.pdf
1998,E99-1025,"We consider three voting strategies suggested by van Halteren et al (1998): equal vote, where each classifier's vote is weighted equally, overall accuracy, where the weight depends on the overall accuracy of a classifier, and pair'wise voting.","The most democratic option is to give each tagger one vote (Majority). This can be general quality, e.g. each tagger votes its overall precision (TotPrecision), or quality in relation to the current situation, e.g. each tagger votes its precision on the suggested tag (Tag- Precision). A next step is to examine them in pairs. When combining the taggers, every tagger pair is taken in turn and allowed to vote (with the probability described above) for each possible tag, i.e. not just the ones suggested by the component taggers.",http://www.aclweb.org/anthology/E/E99/E99-1025.pdf
"van Halteren et al., 1998",W03-1728,"pairwise voting (van Halteren et al., 1998)",Pairwise Voting,http://www.aclweb.org/anthology/W/W03/W03-1728.pdf
1998,P06-2060,Halteren et al (1998) compare a number of voting methods including a Majority Vote scheme with other combination methods for part of speech tagging.,The most democratic option is to give each tagger one vote (Majority).,http://www.aclweb.org/anthology/P/P06/P06-2060.pdf
"van Halteren et al., 1998",A00-1024,"Thirdly, this approach is compatible with in corporating multiple components of the same type to improve performance (cf. (van Halteren et al., 1998) who found that combining the results of several part of speech taggers increased performance).","Our experiment shows that, at least for the task at hand, combination of several different systems allows us to raise the performance ceiling for data driven systems.",http://www.aclweb.org/anthology/A/A00/A00-1024.pdf
"van Halteren et ... al., 1998",W05-1518,"Combination techniques have been successfully applied to part of speech tagging (van Halteren et al., 1998; Brill and Wu, 1998; van Halteren et al., 2001). In both cases the investigators were able to achieve significant improvements over the previous best tagging results.","However, it appears more useful to give more weight to taggers which have proved their quality. This can be general quality, e.g. each tagger votes its overall precision (TotPrecision), or quality in relation to the current situation, e.g. each tagger votes its precision on the suggested tag (Tag- Precision).",http://www.aclweb.org/anthology/W/W05/W05-1518.pdf
